from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Höhle,Krankenhaus,1905,182,222,2023-12-20T17:10:02.490695000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,215,2023-12-20T17:10:02.490695000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,198,2023-12-20T17:10:02.490695000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,162,2023-12-20T17:10:02.490695000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,219,2023-12-20T17:10:02.490695000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,179,2023-12-20T17:10:02.490695000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,160,2023-12-21T22:51:44.820252000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,155,2023-12-21T22:51:44.820252000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,163,2023-12-21T22:51:44.820252000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,126,2023-12-21T22:51:44.820252000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,169,2023-12-21T22:51:44.820252000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,133,2023-12-21T22:51:44.820252000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,180,2023-12-22T07:50:02.491255000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,178,2023-12-22T07:50:02.491255000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,186,2023-12-22T07:50:02.491255000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,152,2023-12-22T07:50:02.491255000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,199,2023-12-22T07:50:02.491255000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,159,2023-12-22T07:50:02.491255000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,239,2023-12-20T17:00:01.723306000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,232,2023-12-20T17:00:01.723306000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,199,2023-12-20T17:00:01.723306000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,169,2023-12-20T17:00:01.723306000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,216,2023-12-20T17:00:01.723306000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,180,2023-12-20T17:00:01.723306000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,229,2023-12-21T12:30:01.628577000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,222,2023-12-21T12:30:01.628577000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,205,2023-12-21T12:30:01.628577000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,179,2023-12-21T12:30:01.628577000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,211,2023-12-21T12:30:01.628577000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,177,2023-12-21T12:30:01.628577000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,158,2023-12-21T22:10:02.048441000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,156,2023-12-21T22:10:02.048441000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,159,2023-12-21T22:10:02.048441000,Krankenhaus -> Höhle
